dt,close,signal
2025-08-05 18:50:00+00:00,113581.34,0
2025-08-05 18:55:00+00:00,113644.25,0
2025-08-05 19:00:00+00:00,113746.04,0
2025-08-05 19:05:00+00:00,113734.19,0
2025-08-05 19:10:00+00:00,113603.14,0
2025-08-05 19:15:00+00:00,113659.78,0
2025-08-05 19:20:00+00:00,113654.76,0
2025-08-05 19:25:00+00:00,113610.85,0
2025-08-05 19:30:00+00:00,113655.08,0
2025-08-05 19:35:00+00:00,113671.3,0
2025-08-05 19:40:00+00:00,113604.2,0
2025-08-05 19:45:00+00:00,113500.16,0
2025-08-05 19:50:00+00:00,113500.74,0
2025-08-05 19:55:00+00:00,113615.6,0
2025-08-05 20:00:00+00:00,113761.32,0
2025-08-05 20:05:00+00:00,113805.21,0
2025-08-05 20:10:00+00:00,113813.38,0
2025-08-05 20:15:00+00:00,113845.3,0
2025-08-05 20:20:00+00:00,113849.42,0
2025-08-05 20:25:00+00:00,113989.77,-1
2025-08-05 20:30:00+00:00,113916.37,0
2025-08-05 20:35:00+00:00,113650.09,0
2025-08-05 20:40:00+00:00,113658.86,0
2025-08-05 20:45:00+00:00,113512.99,0
2025-08-05 20:50:00+00:00,113575.84,0
2025-08-05 20:55:00+00:00,113691.22,0
2025-08-05 21:00:00+00:00,113771.96,0
2025-08-05 21:05:00+00:00,113804.82,0
2025-08-05 21:10:00+00:00,113676.76,0
2025-08-05 21:15:00+00:00,113800.74,0
2025-08-05 21:20:00+00:00,113801.96,0
2025-08-05 21:25:00+00:00,113849.14,0
2025-08-05 21:30:00+00:00,113848.85,0
2025-08-05 21:35:00+00:00,113759.77,0
2025-08-05 21:40:00+00:00,113691.34,0
2025-08-05 21:45:00+00:00,113613.5,0
2025-08-05 21:50:00+00:00,113606.91,0
2025-08-05 21:55:00+00:00,113606.78,0
2025-08-05 22:00:00+00:00,113355.38,0
2025-08-05 22:05:00+00:00,113617.81,0
2025-08-05 22:10:00+00:00,113769.57,0
2025-08-05 22:15:00+00:00,113771.41,0
2025-08-05 22:20:00+00:00,113833.81,0
2025-08-05 22:25:00+00:00,113872.92,0
2025-08-05 22:30:00+00:00,113890.25,0
2025-08-05 22:35:00+00:00,113929.72,0
2025-08-05 22:40:00+00:00,113940.24,0
2025-08-05 22:45:00+00:00,113958.99,0
2025-08-05 22:50:00+00:00,113959.23,0
2025-08-05 22:55:00+00:00,113961.05,-1
2025-08-05 23:00:00+00:00,114072.09,-1
2025-08-05 23:05:00+00:00,114055.28,-1
2025-08-05 23:10:00+00:00,114087.29,-1
2025-08-05 23:15:00+00:00,114085.82,-1
2025-08-05 23:20:00+00:00,114061.45,-1
2025-08-05 23:25:00+00:00,114044.71,-1
2025-08-05 23:30:00+00:00,114080.32,-1
2025-08-05 23:35:00+00:00,114109.86,-1
2025-08-05 23:40:00+00:00,114170.29,-1
2025-08-05 23:45:00+00:00,114136.26,-1
2025-08-05 23:50:00+00:00,114153.55,-1
2025-08-05 23:55:00+00:00,114129.58,-1
2025-08-06 00:00:00+00:00,114099.79,0
2025-08-06 00:05:00+00:00,114034.28,0
2025-08-06 00:10:00+00:00,114048.87,0
2025-08-06 00:15:00+00:00,113996.5,0
2025-08-06 00:20:00+00:00,113985.25,0
2025-08-06 00:25:00+00:00,113947.47,0
2025-08-06 00:30:00+00:00,113881.79,0
2025-08-06 00:35:00+00:00,114026.1,0
2025-08-06 00:40:00+00:00,113936.15,0
2025-08-06 00:45:00+00:00,113759.07,1
2025-08-06 00:50:00+00:00,113863.12,0
2025-08-06 00:55:00+00:00,113878.68,0
2025-08-06 01:00:00+00:00,113898.06,0
2025-08-06 01:05:00+00:00,113913.39,0
2025-08-06 01:10:00+00:00,113850.44,0
2025-08-06 01:15:00+00:00,113731.53,0
2025-08-06 01:20:00+00:00,113668.54,0
2025-08-06 01:25:00+00:00,113593.24,1
2025-08-06 01:30:00+00:00,113673.45,0
2025-08-06 01:35:00+00:00,113723.85,0
2025-08-06 01:40:00+00:00,113791.84,0
2025-08-06 01:45:00+00:00,113672.77,0
2025-08-06 01:50:00+00:00,113797.14,0
2025-08-06 01:55:00+00:00,113819.63,0
2025-08-06 02:00:00+00:00,113771.4,0
2025-08-06 02:05:00+00:00,113622.27,0
2025-08-06 02:10:00+00:00,113625.09,0
2025-08-06 02:15:00+00:00,113694.48,0
2025-08-06 02:20:00+00:00,113712.85,0
2025-08-06 02:25:00+00:00,113677.16,0
2025-08-06 02:30:00+00:00,113691.42,0
2025-08-06 02:35:00+00:00,113598.49,0
2025-08-06 02:40:00+00:00,113666.91,0
2025-08-06 02:45:00+00:00,113623.31,0
2025-08-06 02:50:00+00:00,113673.99,0
2025-08-06 02:55:00+00:00,113622.27,0
2025-08-06 03:00:00+00:00,113522.53,0
2025-08-06 03:05:00+00:00,113603.69,0
2025-08-06 03:10:00+00:00,113617.3,0
2025-08-06 03:15:00+00:00,113573.31,0
2025-08-06 03:20:00+00:00,113476.75,0
2025-08-06 03:25:00+00:00,113430.88,0
2025-08-06 03:30:00+00:00,113446.95,0
2025-08-06 03:35:00+00:00,113495.33,0
2025-08-06 03:40:00+00:00,113538.9,0
2025-08-06 03:45:00+00:00,113610.15,0
2025-08-06 03:50:00+00:00,113566.99,0
2025-08-06 03:55:00+00:00,113508.89,0
2025-08-06 04:00:00+00:00,113467.8,0
